ticker,tp_pct,sl_pct,trades,win_rate,avg_pnl,avg_win,avg_loss,best,worst,avg_hold,final_cap,total_ret,cagr,max_dd,calmar,tp_hits,sl_hits,score_exits,time_exits
LAURUSLABS.NS,3.0,15.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
LAURUSLABS.NS,3.0,25.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
LAURUSLABS.NS,2.0,15.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
BAJFINANCE.NS,2.0,25.0,45,66.7,1.12,3.59,-3.81,8.09,-7.35,8.8,159726.72,59.73,7.56,17.71,0.43,29,0,16,0
BAJFINANCE.NS,2.0,10.0,45,66.7,1.12,3.59,-3.81,8.09,-7.35,8.8,159726.72,59.73,7.56,17.71,0.43,29,0,16,0
ANANDRATHI.NS,3.0,15.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
ANANDRATHI.NS,3.0,5.0,36,66.7,1.81,4.56,-3.68,10.5,-6.55,11.2,183995.82,84.0,15.48,12.08,1.28,21,5,8,2
ANANDRATHI.NS,3.0,20.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
ANANDRATHI.NS,3.0,10.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
ANANDRATHI.NS,3.0,25.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
LAURUSLABS.NS,2.0,10.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
LAURUSLABS.NS,2.0,20.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
LAURUSLABS.NS,2.0,25.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
LAURUSLABS.NS,3.0,10.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
LAURUSLABS.NS,3.0,20.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
TVSMOTOR.NS,2.0,5.0,61,65.6,0.89,3.38,-3.86,6.9,-8.23,8.2,163756.25,63.76,7.98,26.21,0.3,38,7,16,0
TVSMOTOR.NS,2.0,20.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
TVSMOTOR.NS,2.0,25.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
TVSMOTOR.NS,2.0,15.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
TVSMOTOR.NS,2.0,10.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
BSE.NS,3.0,5.0,58,65.5,2.82,7.27,-5.64,21.88,-10.27,6.9,437183.31,337.18,25.81,19.3,1.34,38,17,3,0
BAJFINANCE.NS,2.0,5.0,46,65.2,0.92,3.76,-4.4,13.19,-13.21,8.4,145188.53,45.19,5.98,17.68,0.34,29,5,12,0
ASTERDM.NS,2.0,15.0,60,65.0,1.44,4.97,-5.11,17.06,-9.9,9.6,215293.0,115.29,12.68,24.96,0.51,40,0,19,1
ASTERDM.NS,2.0,25.0,60,65.0,1.44,4.97,-5.11,17.06,-9.9,9.6,215293.0,115.29,12.68,24.96,0.51,40,0,19,1
ASTERDM.NS,2.0,10.0,60,65.0,1.44,4.97,-5.11,17.06,-9.9,9.6,215293.0,115.29,12.68,24.96,0.51,40,0,19,1
ASTERDM.NS,2.0,20.0,60,65.0,1.44,4.97,-5.11,17.06,-9.9,9.6,215293.0,115.29,12.68,24.96,0.51,40,0,19,1
MARUTI.NS,2.0,5.0,54,64.8,1.43,3.69,-2.74,9.58,-6.41,7.9,202820.35,102.82,11.64,8.52,1.37,34,1,19,0
CUMMINSIND.NS,2.0,10.0,54,64.8,0.94,4.13,-4.94,13.81,-14.72,7.2,153897.9,53.9,6.94,23.98,0.29,35,0,19,0
CUMMINSIND.NS,2.0,20.0,54,64.8,0.94,4.13,-4.94,13.81,-14.72,7.2,153897.9,53.9,6.94,23.98,0.29,35,0,19,0
MARUTI.NS,2.0,25.0,54,64.8,1.43,3.69,-2.74,9.58,-6.41,7.9,202820.35,102.82,11.64,8.52,1.37,34,0,20,0
MARUTI.NS,2.0,20.0,54,64.8,1.43,3.69,-2.74,9.58,-6.41,7.9,202820.35,102.82,11.64,8.52,1.37,34,0,20,0
MARUTI.NS,2.0,15.0,54,64.8,1.43,3.69,-2.74,9.58,-6.41,7.9,202820.35,102.82,11.64,8.52,1.37,34,0,20,0
MARUTI.NS,2.0,10.0,54,64.8,1.43,3.69,-2.74,9.58,-6.41,7.9,202820.35,102.82,11.64,8.52,1.37,34,0,20,0
CUMMINSIND.NS,2.0,5.0,54,64.8,1.0,4.13,-4.76,13.81,-14.72,7.2,159891.05,59.89,7.58,23.94,0.32,35,6,13,0
CUMMINSIND.NS,2.0,15.0,54,64.8,0.94,4.13,-4.94,13.81,-14.72,7.2,153897.9,53.9,6.94,23.98,0.29,35,0,19,0
CUMMINSIND.NS,2.0,25.0,54,64.8,0.94,4.13,-4.94,13.81,-14.72,7.2,153897.9,53.9,6.94,23.98,0.29,35,0,19,0
FORTIS.NS,2.0,10.0,62,64.5,0.91,3.99,-4.71,6.9,-9.41,8.4,164397.3,64.4,8.04,21.27,0.38,40,1,21,0
FORTIS.NS,2.0,15.0,62,64.5,0.91,3.99,-4.71,6.9,-9.41,8.4,164397.3,64.4,8.04,21.27,0.38,40,0,22,0
FORTIS.NS,2.0,20.0,62,64.5,0.91,3.99,-4.71,6.9,-9.41,8.4,164397.3,64.4,8.04,21.27,0.38,40,0,22,0
FORTIS.NS,2.0,25.0,62,64.5,0.91,3.99,-4.71,6.9,-9.41,8.4,164397.3,64.4,8.04,21.27,0.38,40,0,22,0
HEROMOTOCO.NS,2.0,15.0,42,64.3,1.03,3.46,-3.34,8.28,-9.34,7.4,149108.15,49.11,6.42,13.57,0.47,27,0,15,0
HEROMOTOCO.NS,2.0,10.0,42,64.3,1.03,3.46,-3.34,8.28,-9.34,7.4,149108.15,49.11,6.42,13.57,0.47,27,0,15,0
HEROMOTOCO.NS,2.0,20.0,42,64.3,1.03,3.46,-3.34,8.28,-9.34,7.4,149108.15,49.11,6.42,13.57,0.47,27,0,15,0
HEROMOTOCO.NS,2.0,25.0,42,64.3,1.03,3.46,-3.34,8.28,-9.34,7.4,149108.15,49.11,6.42,13.57,0.47,27,0,15,0
SHRIRAMFIN.NS,2.0,25.0,64,64.1,0.85,4.37,-5.42,20.07,-10.24,7.1,156938.77,56.94,7.27,28.35,0.26,41,0,23,0
SHRIRAMFIN.NS,2.0,20.0,64,64.1,0.85,4.37,-5.42,20.07,-10.24,7.1,156938.77,56.94,7.27,28.35,0.26,41,0,23,0
SHRIRAMFIN.NS,2.0,15.0,64,64.1,0.85,4.37,-5.42,20.07,-10.24,7.1,156938.77,56.94,7.27,28.35,0.26,41,0,23,0
SHRIRAMFIN.NS,2.0,10.0,64,64.1,0.85,4.37,-5.42,20.07,-10.24,7.1,156938.77,56.94,7.27,28.35,0.26,41,1,22,0
LAURUSLABS.NS,2.0,5.0,58,63.8,0.78,4.18,-5.22,15.33,-8.83,7.0,145503.69,45.5,6.01,29.51,0.2,38,13,7,0
LAURUSLABS.NS,3.0,5.0,55,63.6,1.17,4.91,-5.37,15.33,-8.83,8.5,175230.65,75.23,9.12,25.09,0.36,35,13,7,0
SHRIRAMFIN.NS,3.0,25.0,62,62.9,1.21,5.12,-5.42,20.07,-10.24,7.8,190721.09,90.72,10.57,26.9,0.39,38,0,24,0
SHRIRAMFIN.NS,3.0,20.0,62,62.9,1.21,5.12,-5.42,20.07,-10.24,7.8,190721.09,90.72,10.57,26.9,0.39,38,0,24,0
SHRIRAMFIN.NS,3.0,15.0,62,62.9,1.21,5.12,-5.42,20.07,-10.24,7.8,190721.09,90.72,10.57,26.9,0.39,38,0,24,0
SHRIRAMFIN.NS,3.0,10.0,62,62.9,1.21,5.12,-5.42,20.07,-10.24,7.8,190721.09,90.72,10.57,26.9,0.39,38,1,23,0
HEROMOTOCO.NS,2.0,5.0,43,62.8,1.0,3.46,-3.16,8.28,-5.48,7.1,148395.65,48.4,6.34,14.25,0.44,27,4,12,0
KARURVYSYA.NS,2.0,5.0,59,62.7,1.38,5.17,-5.0,20.06,-10.94,7.7,202713.16,102.71,11.63,23.42,0.5,36,11,12,0
BSE.NS,5.0,25.0,51,62.7,3.08,8.43,-5.94,22.84,-13.8,9.1,401275.37,301.28,24.14,26.88,0.9,31,0,20,0
BSE.NS,5.0,20.0,51,62.7,3.08,8.43,-5.94,22.84,-13.8,9.1,401275.37,301.28,24.14,26.88,0.9,31,0,20,0
BSE.NS,5.0,10.0,51,62.7,3.08,8.43,-5.94,22.84,-13.8,9.1,401275.37,301.28,24.14,26.88,0.9,31,1,19,0
BSE.NS,5.0,15.0,51,62.7,3.08,8.43,-5.94,22.84,-13.8,9.1,401275.37,301.28,24.14,26.88,0.9,31,0,20,0
CANBK.NS,2.0,25.0,56,62.5,0.51,3.84,-5.03,12.0,-13.35,6.6,124584.66,24.58,3.48,23.21,0.15,35,0,21,0
CANBK.NS,2.0,10.0,56,62.5,0.53,3.84,-5.0,12.0,-12.63,6.6,125620.68,25.62,3.61,23.21,0.16,35,1,20,0
CANBK.NS,2.0,20.0,56,62.5,0.51,3.84,-5.03,12.0,-13.35,6.6,124584.66,24.58,3.48,23.21,0.15,35,0,21,0
CANBK.NS,2.0,15.0,56,62.5,0.51,3.84,-5.03,12.0,-13.35,6.6,124584.66,24.58,3.48,23.21,0.15,35,0,21,0
FORTIS.NS,2.0,5.0,64,62.5,0.82,4.03,-4.54,6.9,-7.44,7.9,158016.15,58.02,7.38,21.24,0.35,40,9,15,0
SHRIRAMFIN.NS,3.0,5.0,64,62.5,1.21,5.12,-5.3,20.07,-10.24,6.9,195448.55,95.45,10.99,26.04,0.42,39,17,8,0
CHOLAFIN.NS,2.0,25.0,61,62.3,0.94,4.62,-5.16,19.5,-11.86,6.4,161029.75,61.03,7.7,28.2,0.27,38,0,23,0
CHOLAFIN.NS,2.0,20.0,61,62.3,0.94,4.62,-5.16,19.5,-11.86,6.4,161029.75,61.03,7.7,28.2,0.27,38,0,23,0
CHOLAFIN.NS,2.0,15.0,61,62.3,0.94,4.62,-5.16,19.5,-11.86,6.4,161029.75,61.03,7.7,28.2,0.27,38,0,23,0
CHOLAFIN.NS,2.0,10.0,61,62.3,0.94,4.62,-5.16,19.5,-11.86,6.4,161029.75,61.03,7.7,28.2,0.27,38,1,22,0
SHRIRAMFIN.NS,2.0,5.0,66,62.1,0.74,4.39,-5.25,20.07,-10.24,6.4,148363.87,48.36,6.33,27.52,0.23,41,18,7,0
FORTIS.NS,3.0,15.0,60,61.7,1.05,4.6,-4.67,6.9,-9.41,9.5,174541.9,74.54,9.06,21.25,0.43,37,0,23,0
FORTIS.NS,3.0,25.0,60,61.7,1.05,4.6,-4.67,6.9,-9.41,9.5,174541.9,74.54,9.06,21.25,0.43,37,0,23,0
FORTIS.NS,3.0,20.0,60,61.7,1.05,4.6,-4.67,6.9,-9.41,9.5,174541.9,74.54,9.06,21.25,0.43,37,0,23,0
FORTIS.NS,3.0,10.0,60,61.7,1.05,4.6,-4.67,6.9,-9.41,9.5,174541.9,74.54,9.06,21.25,0.43,37,1,22,0
CUMMINSIND.NS,3.0,20.0,52,61.5,1.14,5.05,-5.11,13.81,-14.72,8.9,165556.35,65.56,8.16,24.11,0.34,31,0,21,0
CUMMINSIND.NS,3.0,5.0,52,61.5,1.21,5.05,-4.93,13.81,-14.72,8.8,171998.85,72.0,8.81,24.07,0.37,31,7,14,0
CUMMINSIND.NS,3.0,15.0,52,61.5,1.14,5.05,-5.11,13.81,-14.72,8.9,165556.35,65.56,8.16,24.11,0.34,31,0,21,0
CUMMINSIND.NS,3.0,10.0,52,61.5,1.14,5.05,-5.11,13.81,-14.72,8.9,165556.35,65.56,8.16,24.11,0.34,31,0,21,0
CUMMINSIND.NS,3.0,25.0,52,61.5,1.14,5.05,-5.11,13.81,-14.72,8.9,165556.35,65.56,8.16,24.11,0.34,31,0,21,0
HINDALCO.NS,5.0,25.0,54,61.1,2.26,6.61,-4.58,13.39,-13.01,10.8,303307.5,203.31,18.85,13.79,1.37,32,0,22,0
HINDALCO.NS,5.0,5.0,54,61.1,2.26,6.61,-4.58,13.39,-13.01,10.8,303307.5,203.31,18.85,13.79,1.37,32,8,14,0
HINDALCO.NS,5.0,15.0,54,61.1,2.26,6.61,-4.58,13.39,-13.01,10.8,303307.5,203.31,18.85,13.79,1.37,32,0,22,0
HINDALCO.NS,5.0,10.0,54,61.1,2.26,6.61,-4.58,13.39,-13.01,10.8,303307.5,203.31,18.85,13.79,1.37,32,1,21,0
HINDALCO.NS,5.0,20.0,54,61.1,2.26,6.61,-4.58,13.39,-13.01,10.8,303307.5,203.31,18.85,13.79,1.37,32,0,22,0
TVSMOTOR.NS,3.0,25.0,59,61.0,1.05,4.18,-3.84,9.12,-8.23,9.8,175039.9,75.04,9.1,27.13,0.34,34,0,24,1
TVSMOTOR.NS,3.0,10.0,59,61.0,1.05,4.18,-3.84,9.12,-8.23,9.8,175039.9,75.04,9.1,27.13,0.34,34,0,24,1
TVSMOTOR.NS,3.0,15.0,59,61.0,1.05,4.18,-3.84,9.12,-8.23,9.8,175039.9,75.04,9.1,27.13,0.34,34,0,24,1
TVSMOTOR.NS,3.0,20.0,59,61.0,1.05,4.18,-3.84,9.12,-8.23,9.8,175039.9,75.04,9.1,27.13,0.34,34,0,24,1
TVSMOTOR.NS,3.0,5.0,59,61.0,1.07,4.18,-3.8,9.12,-8.23,9.4,177027.2,77.03,9.3,26.21,0.35,34,7,18,0
